!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Daniel in the lions' den	דניאל בגוב האריות
Daniel the Traveller	ההגמון דניאל
Daniel-Yitzhak Levy	דניאל יצחק לוי
Daniel.h.landau	דניאל לנדאו
DanielSchwake~enwiki	משתמש:DanielSchwake
DanielThompson100/sandbox	ג'רמי לנגפורד
Daniela Bianchi	דניאלה ביאנקי
Daniela Denby-Ashe	דניאלה דנבי-אש
Daniela Hantuchová	דניאלה האנטוחובה
Daniela Mercury	דניאלה מרקורי
Daniela Nardini	דניאלה נרדיני
Daniela Ruah	דניאלה רוח
Daniela Silivaș	דניאלה סיליבאש
Daniela Yaniv-Richter	דניאלה יניב-ריכטר
Daniele Bonera	דניאלה בונרה
Daniele De Rossi	דניאלה דה רוסי
Daniele Mannini	דניאלה מאניני
Daniele Massaro	דניאלה מסארו
Danielkai/Hill Valley High	מקפליי
Daniell cell	תא דניאל
Daniella Kertesz	דניאלה קרטס
Daniella Mastricchio	דניאלה מסטריצ'יו
Daniella Monet	דניאלה מונט
Daniella Weiss	דניאלה וייס
Danielle Campbell	דניאל קמפבל
Danielle Darrieux	דניאל דארייה
Danielle Frenkel	דניאל פרנקל
Danielle Jadelyn	דניאל ג'יידלין
Danielle Montalbano	דניאל מונטלבאנו
Danielle Moonstar	דניאל מונסטאר
Danielle Steel	דניאל סטיל
Danielle Williams	דניאל ויליאמס
Danielrayowen	איזיס טיילור
Danielroberthawkins	ניל יאנג
Danielroseit/sandbox	מובילאיי
Daniels	דניאלס
Danielsavoiu/Sandbox1	תבנית:מדינה
Danielsavoiu/United States	תבנית:מדינה
Danielzohar/test	דיסוננט
Daniil Kharms	דניאיל חארמס
Danijel Pranjić	דניאל פראניץ'
Danijel Subašić	דניאל סובשיץ'
Danilo	דנילו לואיס דה סילבה
Danilo Di Luca	דנילו די-לוקה
Danilo Gallinari	דנילו גלינארי
Danilo Kiš	דנילו קיש
Danilo Medina	דנילו מדינה
Danilo Petrucci	דנילו פטרוצ'י
Danilo Soares	דנילו סוארס
Danish Blue Cheese	דנבלו
Danish Defence	כוחות ההגנה של דנמרק
Danish Jews	קטגוריה:יהודים דנים
Danish National Symphony Orchestra	התזמורת הסימפונית הלאומית של דנמרק
Danish Nobel laureates	קטגוריה:זוכי פרס נובל דנים
Danish People's Party	מפלגת העם הדנית
Danish Righteous Among the Nations	קטגוריה:דנים חסידי אומות העולם
Danish Superliga	ליגת העל הדנית
Danish actors	קטגוריה:שחקני קולנוע וטלוויזיה דנים
Danish architects	קטגוריה:אדריכלים דנים
Danish astronomers	קטגוריה:אסטרונומים דנים
Danish basketball players	קטגוריה:כדורסלנים דנים
Danish chemists	קטגוריה:כימאים דנים
Danish chess players	קטגוריה:שחמטאים דנים
Danish children's writers	קטגוריה:סופרי ילדים ונוער דנים
Danish colonial empire	האימפריה הדנית
Danish composers	קטגוריה:מלחינים דנים
Danish cuisine	המטבח הדני
Danish cuisine	קטגוריה:המטבח הדני
Danish culture	קטגוריה:דנמרק: תרבות
Danish designers	קטגוריה:מעצבים דנים
Danish directors	קטגוריה:במאים דנים
Danish dramatists and playwrights	קטגוריה:מחזאים דנים
Danish explorers	קטגוריה:מגלי ארצות דנים
Danish film directors	קטגוריה:במאי קולנוע דנים
Danish films	קטגוריה:סרטים דניים
Danish football managers	קטגוריה:מאמני כדורגל דנים
Danish footballers	קטגוריה:כדורגלנים דנים
Danish historians	קטגוריה:היסטוריונים דנים
Danish illustrators	קטגוריה:מאיירים דנים
Danish journalists	קטגוריה:עיתונאים דנים
Danish krone	כתר דני
Danish language	דנית
Danish literary critics	קטגוריה:חוקרי ספרות דנים
Danish literature	קטגוריה:ספרות דנית
Danish mathematicians	קטגוריה:מתמטיקאים דנים
Danish military personnel	קטגוריה:אנשי צבא דנים
Danish models	קטגוריה:דוגמניות דניות
Danish monarchs	קטגוריה:מלכי דנמרק
Danish music	קטגוריה:מוזיקה דנית
Danish musical groups	קטגוריה:להקות דניות
Danish musicians	קטגוריה:מוזיקאים דנים
Danish nobility	קטגוריה:אצולה דנית
Danish pastry	דניש
Danish people	קטגוריה:דנים
Danish people by occupation	קטגוריה:דנים לפי מקצוע
Danish people of World War II	קטגוריה:דנים במלחמת העולם השנייה
Danish philosophers	קטגוריה:פילוסופים דנים
Danish physicians	קטגוריה:רופאים דנים
Danish physicists	קטגוריה:פיזיקאים דנים
Danish poets	קטגוריה:משוררים דנים
Danish politicians	קטגוריה:פוליטיקאים דנים
Danish princesses	קטגוריה:נסיכות דניות
Danish rabbis	קטגוריה:רבנים דנים
Danish religious leaders	קטגוריה:אנשי דת דנים
Danish resistance movement	המחתרת הדנית
Danish scientists	קטגוריה:מדענים דנים
Danish society	קטגוריה:דנמרק: דמוגרפיה
Danish sportspeople	קטגוריה:ספורטאים דנים
Danish theatre directors	קטגוריה:במאי תיאטרון דנים
Danish women's footballers	קטגוריה:כדורגלניות דניות
Danish writers	קטגוריה:סופרים דנים
Daniyal	דאניאל
Danièle Thompson	דניאל תומפסון
Daniël de Ridder	דניאל דה רידר
Dankner	דנקנר
Danna Paola	דנה פאולה
Dannel Malloy	דן מלוי
Danni Bassan	דני בסן
Dannii Minogue	דני מינוג
Danny	דני מיגל אלבס
Danny	משתמש:Danny
Danny Aiello	דני איילו
Danny Ainge	דני איינג'
Danny Allsopp	דניאל אלסופ
Danny Amos	דני עמוס
Danny Antonucci	דני אנטונוצ'י
Danny Atar	דני עטר
Danny Ayalon	דני אילון
Danny Blind	דני בלינד
Danny Boyle	דני בויל
Danny Boyle	תבנית:סרטי דני בויל
Danny Brom	דני ברום
Danny Carey	דני קארי
Danny Clapton	דני קלפטון
Danny Cohen	דני כהן
Danny Danon	דני דנון
Danny DeVito	דני דה ויטו
Danny Dolev	דני דולב
Danny Drinkwater	דני דרינקווטר
Danny Efroni	דני עפרוני
Danny Elfman	דני אלפמן
Danny Fiszman	דני פישמן
Danny Franco	דני פרנקו
Danny Glover	דני גלובר
Danny Granger	דני גריינג'ר
Danny Green	דני גרין
Danny Harris	דני הריס
Danny Higginbotham	דאני היגינבות'אם
Danny Huston	דני יוסטון
Danny Ings	דני אינגס
Danny Jones	דני ג'ונס
Danny Kaye	דני קיי
Danny Krasnov	דני קרסנוב
Danny Latza	דני לצה
Danny Manning	דני מאנינג
Danny Maseng	דני מסנג
Danny Masterson	דני מסטרסון
Danny Matt	דני מט
Danny Neuman	דני נוימן
Danny Nir'on	דני ניראון
Danny Nucci	דני נוסי
Danny O'Donoghue	דני או'דונוהיו
Danny Phantom	דני פנטום
Danny Pintauro	דני פינטאורו
Danny Preda	דני פרדה
Danny Robas	דני רובס
Danny Rubinstein	דני רובינשטיין
Danny Sanderson	דני סנדרסון
Danny Trejo	דני טרחו
Danny Way	דני ויי
Danny Welbeck	דני ולבק
Danny Yatom	דני יתום
Danny lost	משתמש:אסור לויתן
Danny-w	משתמש:Danny-w
Dano Halsall	דאנו הלסל
Danone	דנונה
Danse Macabre	ריקוד המוות
Dansk Boldspil-Union logo.svg	תמונה:Danish football crest.gif
Dante	דאנטה
Dante Alighieri	דנטה אליגיירי
Dante Alighieri Society	אגודת דנטה אליגיירי
Dante Spinotti	דנטה ספינוטי
Danton	דנטון
Danube	דנובה
Danube	קטגוריה:דנובה
Danube Delta	הדלתה של הדנובה
Danube school	אסכולת הדנובה
Danube-Auen National Park	הפארק הלאומי דונאו-אוון
Danube–Black Sea Canal	תעלת דנובה-הים השחור
Danube–Bucharest Canal	תעלת דנובה-בוקרשט
Danubian Principalities	נסיכויות הדנובה
Danubio F.C.	דאנוביו
Danubio F.C. players	קטגוריה:כדורגלני דאנוביו
Danuta Lato	דנוטה לאטו
Dany Brillant	דני בריאן
Dany Chamoun	דני שמעון
Danyang–Kunshan Grand Bridge	הגשר הגדול דניאנג-קונשאן
Danyon Loader	דניון לואדר
Danziger	דנציגר
Danzka	וודקה#מותגי וודקה נודעים
Daoud Kuttab	דאוד כותאב
Dapagliflozin	דאפאגליפלוזין
Daphne	דפנה
Daphne Barak-Erez	דפנה ברק-ארז
Daphne Koller	דפנה קולר
Daphne Zuniga	דפני זוניגה
Daphne du Maurier	דפנה דה מוריאה
Daphni Leef	דפני ליף
Daphni Monastery	מנזר דפני
Daphnia	דפניה
Daphnis	דפניס
Daphnis nerii	רפרף ההרדוף
Dappermarkt	שוק דפר
Dappy	דאפי
Dapsone	דפסון
Dar es Salaam	דאר א-סלאם
Dara Torres	דארה טורס
Daraa	דרעא
Daraa Governorate	דרעא
Darabani	דאראבאן
Daraselia	דרסליה
Darbepoetin alfa	דרבופואטין אלפא
Darboux's theorem	משפט דארבו
Darby Stanchfield	דרבי סטנצ'פילד
Darcy friction factor formulae	משוואת קולברוק
Darcy's law	חוק דרסי
Darcy–Weisbach equation	משוואת דרסי ויסבך
Dardan shatri/Lisi Binarë	עץ בינארי
Dardanelles	דרדנלים
Dardania	דרדניה
Dardenne brothers	האחים דארדן
Daredevil	דרדוויל
Daredevil	קטגוריה:דרדוויל
Daredevil poster.JPG	קובץ:Darevil2003film.jpg
Darev	משתמש:Darev
Darfur	דארפור
Dargwa people	דרגינים
Dari language	דארי
Daria	דריה
Daria Werbowy	דריה ורבובי
Darial Gorge	מעבר דריאל
Darien scheme	תוכנית דריין
Darier's disease	מחלת דרייר
Darijo Srna	דאריו סרנה
Dario Argento	דאריו ארג'נטו
Dario Castello	דריו קסטלו
Dario Fo	דאריו פו
Dario Knežević	דריו קנזביץ'
Dario Lezcano	דריו לסקאנו
Dario Vidošić	דריו וידושיץ'
Dario Šarić	דריו סאריץ'
Dario Šimić	דאריו שימיץ'
Darius	דריווש
Darius I	דריווש הראשון
Darius II	דריווש השני
Darius III	דריווש השלישי
Darius Milhaud	דריוס מיו
Darius the Great's Suez Inscriptions	כתובות דריווש הראשון בסואץ
Dariusz Wosz	דריוש ווש
Darién National Park	הפארק הלאומי דריין
Darjeeling	דרג'ילינג
Darjeeling Himalayan Railway	מסילת דרג'ילינג ההימלאית
Darjuš Lavrinovič	דריוש לברינוביץ'
Dark	דארק
Dark Angel	מלאך שחור
Dark Avengers	האוונג'רס האפלים
Dark Beast	דארק ביסט
Dark City	עיר אפלה
Dark Colony	Dark Colony
Dark Funeral	דארק פיונרל
Dark Habits	הרגלים מגונים
Dark Horse	Dark Horse
Dark Horse Comics	דארק הורס קומיקס
Dark Island	דארק
Dark Knight.jpg	קובץ:Dark Knight.jpg
Dark Moor	Dark Moor
Dark Oracle	נביא החושך
Dark Reign	שלטון אפל
Dark Shadows	צללים אפלים
Dark Side of the Moon Tour	Dark Side of the Moon Tour
Dark Tranquillity	Dark Tranquillity
Dark Victory	ניצחון אפל
Dark Water	מים אפלים
Dark World	עולם אפל
Dark X-Men	אקס-מן האפלים
Dark chanting goshawk	נץ אפור כהה
Dark chocolate	שוקולד מריר
Dark culture	תרבות הדארק
Dark elves in fiction	אלף אפל
Dark energy	אנרגיה אפלה
Dark fantasy	פנטזיה אפלה
Dark field microscopy	מיקרוסקופיית שדה אפל
Dark horse	סוס שחור
Dark matter	חומר אפל
Dark matter halo	הילת חומר אפל
Dark nebula	ערפילית בליעה
Dark nebulae	קטגוריה:ערפיליות בליעה
Dark retreat	מדיטציית חושך
Dark ride	מתקן אפל
Dark room	חדר חושך
Dark side of the Moon	הצד האפל של הירח
Dark state	לכידות אוכלוסייה קוהרנטית
Darkhan	דרחאן
Darkhan-Uul Province	דרחאן-אול
Darkicebot	משתמש:Darkicebot
Darkknight cd.jpg	קובץ:Darkknight cd.jpg
Darkly Dreaming Dexter	דקסטר חולם חלומות אפלים
Darkness	חושך
Darkness at Noon	אפלה בצהריים
Darknet	דארקנט
Darko Miličić	דארקו מיליצ'יץ'
Darko Pančev	דרקו פאנצ'ב
Darko Planinić	דארקו פלאניניץ'
Darko Tasevski	דארקו טאסבסקי
Darkoneko	משתמש:Darkoneko
Darkroom	חדר חושך
Darkseid	דארקסיד
Darksiders II	Darksiders II
Darkslime/Tokyo	טוקיו
Darksword	עלילות חרב האופל
Darkthrone	Darkthrone
Darl Douglas	דארל דוגלאס
Darlene Conley	דרלין קונלי
Darley Abbey	דארלי אבי
Darling	דרלינג
Darling Lili	דרלינג לילי
Darling River	דרלינג
Darlington transistor	צמד דרלינגטון
Darlingtonia californica	דרלינגטוניה
Darmon	דרמון
Darmstadt	דרמשטאט
Darmstadt School	אסכולת דרמשטדט
Darmstadtium	דרמשטטיום
Darmstädter Ferienkurse	סמינר הקיץ למוזיקה חדשה בדרמשטדט
Darney	דארני
Daron Acemoğlu	דרון אג'מולו
Daron Malakian	דארון מאלכיאן
Darrell Green	דארל גרין
Darren Anderton	דארן אנדרטון
Darren Aronofsky	דארן ארונופסקי
Darren Aronofsky	תבנית:דארן ארונופסקי
Darren Bent	דארן בנט
Darren Boyd	דארן בויד
Darren Collison	דארן קוליסון
Darren Criss	דארן כריס
Darren Fletcher	דארן פלטשר
Darren Hayes	דארן הייז
Darren Star	דארן סטאר
Darron Gibson	דארון גיבסון
Darryl Monroe	דריל מונרו
Darryl Stingley	דארל סטינגלי
Darryl Zanuck	דריל זאנוק
Darsūniškis	דרשונישוק
Dart	Dart
Darter	נחשוניים
Darth Maul	דארת' מול
Darth NormaN/New CSS Article	גיליונות סגנון מדורגים
Darth Vader	דארת' ויידר
Darth Vader.jpg	תמונה:DVader.jpg
Dartmouth College	דארטמות' קולג'
Dartmouth College faculty	קטגוריה:סגל דארטמות' קולג'
Darts	הטלת חצים
Daruvar	דארובאר
Darwin	דרווין
Darwin Awards	פרס דרווין
Darwin Medal	מדליית דרווין
Darwin glass	זכוכית דרווין
Darwin's finches	פרושי דרווין
Darwin's fox	שועל דרווין
Darwin's rhea	ננדו הפונה
Darwish	דרוויש
Darya Domracheva	דריה דומרצ'בה
Darya Klishina	דריה קלישינה
Daryag/sandbox	דלפק היעץ של הספריה הלאומית
Daryl Bem	דריל בם
Daryl Gregory	דריל גרגורי
Daryl Hannah	דריל האנה
Daryl Janmaat	דריל יאנמאט
Darío Cvitanich	דאריו סביטאניץ'
Darío Fernández	דריו פרננדס
Darío Grandinetti	דריו גרנדינטי
Darío Moreno	דריו מורנו
Darío Rodríguez	דריו רודריגס
Darśana	דארשן
Das Boot	הצוללת
Das Erste	Das Erste
Das Judenthum in der Musik	היהדות במוזיקה
Das Liebesverbot	איסור האהבה
Das Lied von der Erde	השיר על הארץ
Das Rheingold	זהב הריין
Dash	קו מפריד
Dash Mihok	דאש מיהוק
Dashboard	לוח מחוונים
Dashi	דאשי
Dashiell Hammett	דשיל האמט
Dasickis/sandbox	הנפקה
Daspletosaurus	דספלטוזאורוס
Dassault Aviation	דאסו תעופה
Dassault Mirage	מיראז'
Dassault Mirage 2000	מיראז' 2000
Dassault Mirage 4000	מיראז' 4000
Dassault Mirage 5	מיראז' 5
Dassault Mirage F1	מיראז' F1
Dassault Mirage III	מיראז' 3
Dassault Mystère	דאסו מיסטר
Dassault Ouragan	דאסו אוראגן
Dassault Rafale	ראפאל
Dassault Super Mystère	דאסו סופר מיסטר
Dassault Systèmes	דאסו סיסטמס
Dassault-Breguet Super Étendard	דאסו ברגואה סופר אטנדר
Dassie rat	חולדה שפנית
Dassler	דסלר
Dasypeltis scabra	נחש ביצים מצוי
Dasyproctidae	אגוטיים
Dasypus	טטויים
Dasyuridae	נמיות כיס
Dasyuromorphia	טורפי כיס
Dasyuromorphs	קטגוריה:טורפי כיס
Data	דאטה
Data	נתונים
Data Encryption Standard	Data Encryption Standard
Data access object	Data Access Object
Data analysis	ניתוח מידע
Data archive	מאגר מידע
Data buffer	חוצץ
Data cleansing	טיוב נתונים
Data compression	דחיסת נתונים
Data compression	קטגוריה:דחיסת נתונים
Data compression software	קטגוריה:תוכנות דחיסת נתונים
Data deficient	מינים ללא מספיק נתונים
Data degradation	ריקבון ביטים
Data erasure	מחיקה מלאה של נתונים
Data flow diagram	תרשים זרימת נתונים
Data link layer	שכבת הקו של מודל ה-OSI
Data mart	Data Mart
Data mining	כריית מידע
Data mining	קטגוריה:כריית מידע
Data security	בדיקות אבטחת תוכנה
Data security	קטגוריה:אבטחת מידע
Data storage device	אמצעי לאחסון נתונים
Data structure	מבנה נתונים
Data structures	קטגוריה:מבני נתונים
Data type	טיפוס נתונים
Data warehouse	מחסן נתונים
Database	בסיס נתונים
Database index	אינדקס
Database management systems	קטגוריה:מערכות לניהול בסיסי נתונים
Database normalization	נרמול בסיס נתונים
Database reports/User preferences	ויקיפדיה:נתונים סטטיסטיים/העדפות
Database server	שרת בסיס נתונים
Database transaction	תנועה
Databases	קטגוריה:בסיסי נתונים
